Type, Quantum, Average Response Time, Context Switch Time
mlfq, 240000, 1.43405747, 0.00006244
rr, 240000, 1.38155116, 0.00015121
mlfq, 245000, 1.45071540, 0.00005936
rr, 245000, 1.41027290, 0.00015169
mlfq, 250000, 1.46688483, 0.00006474
rr, 250000, 1.43874186, 0.00014583
fcfs, 0, 1.42240857, 0.00000719
sjf, 0, 0.51677591, 0.00000768
mlfq, 0, 1.41838807, 0.00001767
rr, 0, 0.80049661, 0.05155867
mlfq, 5000, 1.42750545, 0.00001732
rr, 5000, 0.68065559, 0.00109323
mlfq, 10000, 1.43412482, 0.00001760
rr, 10000, 0.68215105, 0.00062648
mlfq, 15000, 1.44185762, 0.00001997
rr, 15000, 0.69452205, 0.00044475
mlfq, 20000, 1.08454709, 0.00002745
rr, 20000, 0.69391464, 0.00033587
mlfq, 25000, 1.09850950, 0.00003841
rr, 25000, 0.70981768, 0.00033216
mlfq, 30000, 1.11419400, 0.00002954
rr, 30000, 0.70781285, 0.00027134
mlfq, 35000, 1.12815262, 0.00004714
rr, 35000, 0.72015474, 0.00027084
mlfq, 40000, 1.13583362, 0.00005182
rr, 40000, 0.75249113, 0.00022391
mlfq, 45000, 1.14857768, 0.00004756
rr, 45000, 0.72221382, 0.00024116
mlfq, 50000, 1.16507688, 0.00004526
rr, 50000, 0.77755567, 0.00022712
mlfq, 55000, 1.17747919, 0.00004875
rr, 55000, 0.78603489, 0.00025003
mlfq, 60000, 1.18951092, 0.00004763
rr, 60000, 0.82735735, 0.00022328
mlfq, 65000, 1.20208103, 0.00003834
rr, 65000, 0.81448810, 0.00019409
mlfq, 70000, 1.21318666, 0.00003415
rr, 70000, 0.85948516, 0.00021232
mlfq, 75000, 1.22735961, 0.00005287
rr, 75000, 0.90182411, 0.00019143
mlfq, 80000, 1.24007924, 0.00004484
rr, 80000, 0.88181539, 0.00019437
mlfq, 85000, 0.93029434, 0.00006244
rr, 85000, 0.80917201, 0.00017000
mlfq, 90000, 0.94650781, 0.00005986
rr, 90000, 0.83411167, 0.00014855
mlfq, 95000, 0.96250835, 0.00005517
rr, 95000, 0.88035002, 0.00017097
mlfq, 100000, 0.97919929, 0.00005727
rr, 100000, 0.90153885, 0.00016426
mlfq, 105000, 0.99561975, 0.00005552
rr, 105000, 0.84150662, 0.00013123
