Type, Quantum, Average Response Time, Context Switch Time, Second Queue Usage
rr, 3500, 0.67385752, 0.00152672, 0
rr, 4000, 0.67696352, 0.00108738, 0
rr, 4500, 0.68323123, 0.00113861, 0
rr, 5000, 0.67621939, 0.00105489, 0
rr, 5500, 0.67707294, 0.00110336, 0
rr, 6000, 0.67266411, 0.00090885, 0
rr, 6500, 0.67173707, 0.00088210, 0
rr, 7000, 0.67485216, 0.00077369, 0
rr, 7500, 0.67637400, 0.00072648, 0
rr, 8000, 0.66687566, 0.00065756, 0
rr, 8500, 0.67522244, 0.00069792, 0
rr, 9000, 0.67388065, 0.00072607, 0
rr, 9500, 0.66706598, 0.00062445, 0
rr, 10000, 0.68171601, 0.00058353, 0
rr, 10500, 0.67028271, 0.00056697, 0
rr, 11000, 0.68033081, 0.00052436, 0
rr, 11500, 0.67858996, 0.00049832, 0
rr, 12000, 0.67162483, 0.00054825, 0
rr, 12500, 0.68013176, 0.00042883, 0
rr, 13000, 0.68473268, 0.00049091, 0
rr, 13500, 0.69019146, 0.00043176, 0
rr, 14000, 0.67667916, 0.00040536, 0
rr, 14500, 0.68984967, 0.00043637, 0
rr, 15000, 0.69480596, 0.00043127, 0
rr, 15500, 0.66714469, 0.00042659, 0
rr, 16000, 0.68013684, 0.00038245, 0
rr, 16500, 0.68063738, 0.00036415, 0
rr, 17000, 0.67149025, 0.00036681, 0
rr, 17500, 0.66921505, 0.00038671, 0
rr, 18000, 0.67905581, 0.00034781, 0
rr, 18500, 0.67419394, 0.00032874, 0
rr, 19000, 0.68751903, 0.00031848, 0
rr, 19500, 0.68163050, 0.00039313, 0
rr, 20000, 0.69377828, 0.00033041, 0
mlfq, 15000, 1.44232390, 0.00002019, 1.000
mlfq, 16000, 1.07209996, 0.00002235, 0.750
mlfq, 17000, 1.07435090, 0.00002724, 0.750
mlfq, 18000, 1.07762413, 0.00005196, 0.750
mlfq, 19000, 1.07935193, 0.00002242, 0.750
mlfq, 20000, 1.08274412, 0.00005231, 0.750
mlfq, 21000, 1.08477888, 0.00004561, 0.750
mlfq, 22000, 1.08802620, 0.00004344, 0.750
mlfq, 23000, 1.08954286, 0.00003066, 0.750
mlfq, 24000, 1.09237934, 0.00003066, 0.750
mlfq, 25000, 1.09440009, 0.00002745, 0.750
mlfq, 26000, 1.09709991, 0.00003080, 0.750
mlfq, 27000, 1.09945470, 0.00004197, 0.750
mlfq, 28000, 1.10274286, 0.00004659, 0.750
mlfq, 29000, 1.10562556, 0.00003806, 0.750
mlfq, 30000, 1.10929732, 0.00003611, 0.750
mlfq, 31000, 1.11222016, 0.00003576, 0.750
mlfq, 32000, 1.11591388, 0.00004945, 0.750
mlfq, 81000, 1.23866553, 0.00004330, 0.750
mlfq, 82000, 1.24061230, 0.00004903, 0.750
mlfq, 83000, 0.91942782, 0.00004442, 0.500
mlfq, 84000, 0.92444464, 0.00005860, 0.500
mlfq, 85000, 0.92861605, 0.00009582, 0.500
mlfq, 86000, 0.93121250, 0.00005762, 0.500
mlfq, 87000, 0.93446482, 0.00005874, 0.500
mlfq, 88000, 0.93758582, 0.00005476, 0.500
mlfq, 89000, 0.94089727, 0.00006335, 0.500
mlfq, 90000, 0.94413487, 0.00005846, 0.500
mlfq, 91000, 0.94734890, 0.00005762, 0.500
mlfq, 92000, 0.95063976, 0.00006097, 0.500
mlfq, 93000, 0.95378545, 0.00005224, 0.500
mlfq, 94000, 0.95690231, 0.00005413, 0.500
mlfq, 95000, 0.96043905, 0.00006097, 0.500
mlfq, 96000, 0.96358972, 0.00005825, 0.500
mlfq, 97000, 0.96695196, 0.00005811, 0.500
mlfq, 98000, 0.97029739, 0.00006551, 0.500
mlfq, 99000, 0.97324445, 0.00006153, 0.500
mlfq, 100000, 0.97682474, 0.00006300, 0.500
rr, 0, 0.78783536, 0.05082300, 0
rr, 500, 0.67135242, 0.00639448, 0
rr, 1000, 0.69285358, 0.00342154, 0
rr, 1500, 0.67234415, 0.00313362, 0
rr, 2000, 0.65831115, 0.00227382, 0
rr, 2500, 0.69535133, 0.00154593, 0
rr, 3000, 0.66486706, 0.00167048, 0
rr, 3500, 0.67057847, 0.00148099, 0
rr, 4000, 0.65804523, 0.00131392, 0
rr, 4500, 0.67925889, 0.00112989, 0
rr, 5000, 0.67583682, 0.00106026, 0
rr, 5500, 0.66972925, 0.00097994, 0
rr, 6000, 0.66010586, 0.00092798, 0
rr, 6500, 0.67676690, 0.00084459, 0
